Name,Category,Region,Info
A Bottled Cry For Help,Side Quest,East Necluda,How to Begin:Read bottled messageSolution:Head toMapla Point Caveand remove the boulder blocking the entrance to a deeper part of the cave.Reward:A Silver (100) Rupee
A Call from the Depths,Side Adventure,Hyrule Field,Previous Side Adventure:NoneHow To Begin:Interact with the Goddess Statue within the Temple of Time.Reward:Heart Container or Stamina VesselNext Side Adventure:None
A Crabulous Deal,Side Quest,Lanayru Great Spring,How to Begin:Speak with CleffSolution:Give him 10x Bright-Eyed Crabs.Reward:Sapphire
A Deal With the Statue,Side Adventure,Hyrule Field,"Previous Side Adventure:Who Goes There?How To Begin:Talk with statue inRoyal Hidden PassageReward:Unlocks the Forbidden Horned Statue, which allows you to exchange Heart Containers for Stamina Wheels and vice-versa.Next Side Adventure:None"
A Letter to Koyin,Side Adventure,East Necluda,"Previous Side Adventure:NoneHow To Begin:Speak with KoyinReward:Hateno Cheese, and the ability to trade her milk for more cheese.Next Side Adventure:None"
A Monstrous Collection I,Side Adventure,Akkala Highlands,Previous Side Adventure:Mattison's IndependenceHow To Begin:Talk to Kilton.Reward:Monster ElixirNext Side Adventure:A Monstrous Collection II
A Monstrous Collection II,Side Adventure,Akkala Highlands,Previous Side Adventure:A Monstrous Collection IHow To Begin:Talk to Kilton.Reward:Monster ExtractSneaky Monster SoupNext Side Adventure:A Monstrous Collection III
A Monstrous Collection III,Side Adventure,Akkala Highlands,Previous Side Adventure:A Monstrous Collection IIHow To Begin:Talk to Kilton.Reward:Monster ExtractMonster BridleNext Side Adventure:A Monstrous Collection IV
A Monstrous Collection IV,Side Adventure,Akkala Highlands,Previous Side Adventure:A Monstrous Collection IIIHow To Begin:Talk to Kilton.Reward:Monster ExtractMonster SaddleNext Side Adventure:A Monstrous Collection V
A Monstrous Collection V,Side Adventure,Akkala Highlands,Previous Side Adventure:A Monstrous Collection IVHow To Begin:Talk to Kilton.Reward:Monster ExtractDiamond
A Mystery in the Depths,Main Quest,Hyrule Field,How To Begin:Speak toJoshaRequirements:CompleteCamera Work in The DepthsComplete 1 of the 4Regional PhenomenatasksReward:Auto-build
A New Champion's Tunic,Side Quest,East Necluda,"How to Begin:Read Zelda's journal insideZelda's Secret WellSolution:In Hyrule Castle'sSanctum, light both braziers around the throne to reveal a secret room.Reward:Champion's Leathers"
A New Signature Food,Side Adventure,East Necluda,Previous Side Adventure:Team Cece or Team Reede?How To Begin:Speak to Reede.Reward:Silver RupeeNext Side Adventure:The Mayoral Election
A Picture for Dueling Peaks Stable,Side Quest,West Necluda,"How to Begin:Start the quest by examining the empty frame inDueling Peaks Stable.Solution:Take a picture of the sunrise at the summit of Tuft Moutain, the same place where you get aKorok Seed.Reward:1x Pony PointFood (?)"
A Picture for East Akkala Stable,Side Quest,Deep Akkala,How to Begin:Examine the empty portrait frameSolution:Take a picture of nearby Octorok Lake (SW of stable) when water levels have risen (during rain) to resemble an Octorok.Reward:1 Pony PointMeal and Rice Bowl
A Picture for Foothill Stable,Side Quest,Eldin Canyon,"How to Begin:Examine the empty painting frameSolution:Take a picture of the massive sculpture of Daruk, atGoron CityReward:One Pony Point and one bottle of Fireproof Elixir"
A Picture for Highland Stable,Side Quest,Faron Grasslands,How to Begin:Examine the empty paintingSolution:Take a picture of theGiant White HorseReward:1 Pony Point and some food
A Picture for Lakeside Stable,Side Quest,Faron Grasslands,"How to Begin:Examine the empty painting frame.Solution:On a clear day, go to Floria Bridge and take a picture of Floria Falls, just outside the stable.Reward:1x Pony Point1x Tough Tomato Soup"
A Picture for New Serenne Stable,Side Quest,Hyrule Field,How to Begin:Interact with picture frameSolution:Take a picture of nearby geoglyphReward:Pony PointBright TomatoMushroom Stew
A Picture for Outskirt Stable,Side Quest,Hyrule Field,How to Begin:Interact with empty frameSolution:Take a picture of a cherry treeReward:1 Pony PointEgg Tart
A Picture for Riverside Stable,Side Quest,Hyrule Field,How to Begin:Examine the empty picture frame.Solution:Take a picture of a Great Goddess Statue and show it to the stablemaster. There are at least five that count:The Temple of TimeThe Goddess Statue of CourageThe Goddess Statue of WisdomThe Goddess Statue of PowerThe Mother Goddess StatueReward:1x Pony PointEnergizing Crab Stir-Fry
A Picture for Snowfield Stable,Side Quest,Hebra Mountains,"How to Begin:Examine the empty frame on the Stable wall.Solution:Go to the Lone Pine Tree on top of Talonto Peak and, looking North-West, take a picture of the Bird with outstretched wings.Reward:1 Pony Point, Spicy Meat Stew"
A Picture for South Akkala Stable,Side Quest,Akkala Highlands,How to Begin:Examine the empty picture frame inside the tentSolution:Take a picture of the Unity Bell in Tarrey TownReward:One Pony Point and Prime Meat Stew
A Picture for Tabantha Bridge Stable,Side Quest,Hyrule Ridge,How to Begin:Interact with empty frame inTabantha Bridge StableSolution:Take a picture of the Ancient Columns at sunrise. Avoid or kill theFlame Gleeok.Reward:One Pony Point and Hasty Elixir.
A Picture For The Closed Stable I,Side Quest,Gerudo Highlands,"How To Begin:Examine the empty picture frame in front of Piaffe after completingPiaffe, Packed AwaySolution:Head forRakashog Shrine. On the arm of the island that points southwest, look down and take a picture.Reward:One Pony Point and some food."
A Picture For The Closed Stable II,Side Quest,Gerudo Highlands,How To Begin:Speak to Piaffe again after acquiringA Picture For The Closed Stable I. It is not necessary to complete it to get the second quest.Solution:TheForgotten Swordis right next to aFrost Gleeok. AKorok Seedalso marks the exact location.Reward:One Pony Point and some food.
A Picture for the Wetland Stable,Side Quest,Lanayru Wetlands,How to Begin:Examine the empty painting frame.Solution:Take a picture of a ring shape ruin and bring it to the stablemaster inWetland Stable.Reward:1x Pony PointElectro Elixir
A Picture for Woodland Stable,Side Quest,Eldin Canyon,"How to Begin:Examine the empty painting frameSolution:Take a picture of a Goron in some hotsprings. Easiest place is, obviously, theGoron Hot SpringsReward:One Pony Point and some food"
A Pretty Stone and Five Golden Apples,Shrine Quest,Great Hyrule Forest,"Associated Shrine:Pupunke ShrineSolution:Bring Dania five Golden Apples. If you don't have them, you may follow the path toMido Swamp, where two Golden Apple trees hold 6 apples in total. Then, bring the crystal to the shrine."
A Token of Friendship,Side Quest,Lanayru Great Spring,How to Begin:Speak to Yona after completingSidon of the ZoraSolution:Retrieve the Zora GreavesReward:Zora Greaves
